Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Description,Environment,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocker),Outward issue link (Blocker),Inward issue link (Child-Issue),Outward issue link (Child-Issue),Inward issue link (Cloners),Outward issue link (Cloners),Outward issue link (Completes),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Problem/Incident),Outward issue link (Problem/Incident),Inward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Affects version (Component)),Custom field (Attachment count),Custom field (Blog - New Blog Administrators),Custom field (Blog - New Blog PMC),Custom field (Blog - Write access),Custom field (Blog Administrator?),Custom field (Blogs - Admin for blog),Custom field (Blogs - Email Address),Custom field (Blogs - Existing Blog Access Level),Custom field (Blogs - Existing Blog Name),Custom field (Blogs - New Blog Write Access),Custom field (Blogs - Username),Custom field (Bug Category),Custom field (Bugzilla - Email Notification Address),Custom field (Bugzilla - List of usernames),Custom field (Bugzilla - PMC Name),Custom field (Bugzilla - Project Name),Custom field (Bugzilla Id),Custom field (Bugzilla Id),Custom field (Change Category),Custom field (Complexity),Custom field (Discovered By),Custom field (Docs Text),Custom field (Enable Automatic Patch Review),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Estimated Complexity),Custom field (Evidence Of Open Source Adoption),Custom field (Evidence Of Registration),Custom field (Evidence Of Use On World Wide Web),Custom field (Existing GitBox Approval),Custom field (External issue ID),Custom field (External issue URL),Custom field (Fix version (Component)),Custom field (Flags),Custom field (Git Notification Mailing List),Custom field (Git Repository Import Path),Custom field (Git Repository Name),Custom field (Git Repository Type),Custom field (GitHub Options),Custom field (Github Integration),Custom field (Github Integrations - Other),Custom field (Global Rank),Custom field (INFRA - Subversion Repository Path),Custom field (Initial Confluence Contributors),Custom field (Language),Custom field (Last public comment date),Custom field (Level of effort),Custom field (Machine Readable Info),Custom field (Mentor),Custom field (New-TLP-TLPName),Custom field (Original story points),Custom field (Parent Link),Custom field (Priority),Custom field (Project),Custom field (Protected Branch),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Release Note),Custom field (Review Date),Custom field (Reviewer),Custom field (Severity),Custom field (Severity),Custom field (Skill Level),Custom field (Source Control Link),Custom field (Space Description),Custom field (Space Key),Custom field (Space Name),Custom field (Start Date),Custom field (Tags),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test and Documentation Plan),Custom field (Testcase included),Custom field (Tester),Custom field (Workaround),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Enhance metrics. The incremental and full phases count the number of records separately,FLINK-35511,13581400,,Improvement,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,,,melin,melin,03/Jun/24 14:06,03/Jun/24 14:06,04/Jun/24 20:40,,cdc-3.2.0,,,,,,,,,,,Flink CDC,,,,0,,,"dataworks 实时同步的metric 信息

!image-2024-06-03-22-06-38-591.png!",,,,,,,,,,,,,,,,,,,,,,,,,,"03/Jun/24 14:06;melin;image-2024-06-03-22-06-38-591.png;https://issues.apache.org/jira/secure/attachment/13069269/image-2024-06-03-22-06-38-591.png",,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2024-06-03 14:06:48.0,,,,,,,,,,"0|z1pl3s:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Implement basic incremental checkpoint for ForStStateBackend,FLINK-35510,13581390,13574114,Sub-task,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,,,Feifan Wang,Feifan Wang,03/Jun/24 13:01,04/Jun/24 03:30,04/Jun/24 20:40,,,,,,,,,,,,,Runtime / State Backends,,,,0,pull-request-available,,"Use low DB api implement a basic incremental checkpoint for ForStStatebackend, follow steps:
 # db.disableFileDeletions()
 # db.getLiveFiles(true)
 # db.entableFileDeletes(false)

 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2024-06-03 13:01:11.0,,,,,,,,,,"0|z1pl1k:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slack community invite link has expired,FLINK-35509,13581372,,Bug,In Progress,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,,sverma,uce,uce,03/Jun/24 11:09,03/Jun/24 14:41,04/Jun/24 20:40,,,,,,,,,,,,,Project Website,,,,0,pull-request-available,,"The Slack invite link on the website has expired.

I've generated a new invite link without expiration here: [https://join.slack.com/t/apache-flink/shared_invite/zt-2k0fdioxx-D0kTYYLh3pPjMu5IItqx3Q]

 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2024-06-03 11:09:12.0,,,,,,,,,,"0|z1pkxk:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Use OceanBase LTS version Docker image in testing,FLINK-35508,13581343,,Improvement,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Minor,,,wanghe,wanghe,03/Jun/24 07:00,03/Jun/24 07:00,04/Jun/24 20:40,,,,,,,,,,,,,Flink CDC,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2024-06-03 07:00:57.0,,,,,,,,,,"0|z1pkr4:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Support For Individual Job Level Resource Allocation in Session Cluster in k8s,FLINK-35507,13581331,,New Feature,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,,,amar1404,amar1404,03/Jun/24 04:48,03/Jun/24 04:48,04/Jun/24 20:40,,,,,,,,,,,,,Deployment / Kubernetes,,,,0,,,We can have a setup like Spark where in Spark Cluster we can set individual job level setting in a spark cluster to access the resouces from memory to core. Also Support Dynamic memory allocation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2024-06-03 04:48:39.0,,,,,,,,,,"0|z1pkog:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
disable kafka auto-commit and rely on flink’s checkpointing if both are enabled,FLINK-35506,13581329,,Improvement,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Not A Problem,,elon,elon,03/Jun/24 04:11,04/Jun/24 11:53,04/Jun/24 20:40,04/Jun/24 11:53,1.16.1,,,,,,,,,,,Connectors / Kafka,,,,0,,,"When I use KafkaSource for consuming topics and set the Kafka parameter {{{}enable.auto.commit=true{}}}, while also enabling checkpointing for the task, I notice that both will commit offsets. Should Kafka's auto-commit be disabled when enabling Flink checkpointing, similar to how it's done with FlinkKafkaConsumer?

 

*How to reproduce*

 
{code:java}
// code placeholder
Properties kafkaParams = new Properties();
kafkaParams.put(""enable.auto.commit"", ""true"");
kafkaParams.put(""auto.offset.reset"", ""latest"");
kafkaParams.put(""fetch.min.bytes"", ""4096"");
kafkaParams.put(""sasl.mechanism"", ""PLAIN"");
kafkaParams.put(""security.protocol"", ""SASL_PLAINTEXT"");
kafkaParams.put(""bootstrap.servers"", bootStrap);
kafkaParams.put(""group.id"", expoGroupId);
kafkaParams.put(""sasl.jaas.config"",""org.apache.kafka.common.security.plain.PlainLoginModule required username=\"""" + username + ""\"" password=\"""" + password + ""\"";"");

KafkaSource<String> source = KafkaSource
        .<String>builder()
        .setBootstrapServers(bootStrap)
        .setProperties(kafkaParams)
        .setGroupId(expoGroupId)
        .setTopics(Arrays.asList(expoTopic))
        .setValueOnlyDeserializer(new SimpleStringSchema())
        .setStartingOffsets(OffsetsInitializer.latest())
        .build();

StreamExecutionEnvironment env = StreamExecutionEnvironment.getExecutionEnvironment();
env.fromSource(source, WatermarkStrategy.noWatermarks(), ""kafka-source"")
        .filter(r ->  true);

env.enableCheckpointing(3000 * 1000);
env.getCheckpointConfig().setMinPauseBetweenCheckpoints(1000 * 1000);
env.getCheckpointConfig().setCheckpointingMode(CheckpointingMode.AT_LEAST_ONCE);
env.getCheckpointConfig().setCheckpointTimeout(1000 * 300);
env.execute(""kafka-consumer""); {code}
 

 

the kafka client's org.apache.kafka.clients.consumer.internals.ConsumerCoordinator continuously committing offsets.

!image-2024-06-03-23-39-28-270.png!",,,,,,,,,,,,,,,,,,,,,,,,,,"03/Jun/24 15:39;elon;image-2024-06-03-23-39-28-270.png;https://issues.apache.org/jira/secure/attachment/13069270/image-2024-06-03-23-39-28-270.png",,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2024-06-03 04:11:29.0,,,,,,,,,,"0|z1pko0:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RegionFailoverITCase.testMultiRegionFailover has never ever restored state,FLINK-35505,13581317,,Bug,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,,,Weijie Guo,Weijie Guo,03/Jun/24 01:36,03/Jun/24 01:37,04/Jun/24 20:40,,1.20.0,,,,,,,,,,,Build System / CI,,,,0,,,"{code:java}
May 31 17:17:59 17:17:59.555 [ERROR] org.apache.flink.test.checkpointing.RegionFailoverITCase.testMultiRegionFailover -- Time elapsed: 27.92 s <<< FAILURE!
May 31 17:17:59 java.lang.AssertionError: The test multi-region job has never ever restored state.
May 31 17:17:59 	at org.junit.Assert.fail(Assert.java:89)
May 31 17:17:59 	at org.junit.Assert.assertTrue(Assert.java:42)
May 31 17:17:59 	at org.apache.flink.test.checkpointing.RegionFailoverITCase.verifyAfterJobExecuted(RegionFailoverITCase.java:157)
May 31 17:17:59 	at org.apache.flink.test.checkpointing.RegionFailoverITCase.testMultiRegionFailover(RegionFailoverITCase.java:149)
May 31 17:17:59 	at java.lang.reflect.Method.invoke(Method.java:498)
May 31 17:17:59 	at java.util.concurrent.FutureTask.run(FutureTask.java:266)
May 31 17:17:59 	at java.lang.Thread.run(Thread.java:748)
{code}

https://dev.azure.com/apache-flink/apache-flink/_build/results?buildId=60001&view=logs&j=5c8e7682-d68f-54d1-16a2-a09310218a49&t=86f654fa-ab48-5c1a-25f4-7e7f6afb9bba&l=9222
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2024-06-03 01:36:44.0,,,,,,,,,,"0|z1pklc:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Improve Elasticsearch 8 connector observability,FLINK-35504,13581272,,Improvement,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,,,liuml07,liuml07,01/Jun/24 23:22,02/Jun/24 01:30,04/Jun/24 20:40,,elasticsearch-3.1.0,,,,,,,,,,,Connectors / ElasticSearch,,,,0,pull-request-available,,"Currently all logs are in DEBUG level. Some of those messages are very helpful to get the progress and errors, which can be changed to INFO or WARN level. We can also include error details into DEBUG level messages so it's easier to debug with more context.

Meanwhile, we can add a new metric to track {{{}numRecordsSendPartialFailureCounter{}}}, which is number of records that were returned by Elasticsearch as failed and were retried. FWIW, the base class tracks following metrics already so we don't need to implement them: {{CurrentSendTime}} Gauge, {{NumBytesOut}} and {{NumRecordsOut}} Counters.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2024-06-01 23:22:29.0,,,,,,,,,,"0|z1pkbk:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OracleE2eITCase fails with error ORA-12528 on Mac M2,FLINK-35503,13581265,,Bug,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Blocker,,,sakkurn,sakkurn,01/Jun/24 16:59,03/Jun/24 17:03,04/Jun/24 20:40,,cdc-3.1.0,,,,,,,,,,,Flink CDC,,,,0,,,"Hello Flink CDC community,

I am attempting to run `OracleE2eITCase` (in the cdc source connector e2e tests), and I am running into the following runtime exception: 
{code:java}
java.sql.SQLException: 
Listener refused the connection with the following error:
ORA-12528, TNS:listener: all appropriate instances are blocking new connections
 
    at oracle.jdbc.driver.T4CConnection.logon(T4CConnection.java:854)
    at oracle.jdbc.driver.PhysicalConnection.connect(PhysicalConnection.java:793)
    at oracle.jdbc.driver.T4CDriverExtension.getConnection(T4CDriverExtension.java:57)
    at oracle.jdbc.driver.OracleDriver.connect(OracleDriver.java:747)
    at oracle.jdbc.driver.OracleDriver.connect(OracleDriver.java:562)
    at java.sql/java.sql.DriverManager.getConnection(DriverManager.java:677)
    at java.sql/java.sql.DriverManager.getConnection(DriverManager.java:228)
    at com.ververica.cdc.connectors.tests.OracleE2eITCase.getOracleJdbcConnection(OracleE2eITCase.java:197)
    at com.ververica.cdc.connectors.tests.OracleE2eITCase.testOracleCDC(OracleE2eITCase.java:149)
    at java.base/java.lang.reflect.Method.invoke(Method.java:567)
    at org.apache.flink.util.TestNameProvider$1.evaluate(TestNameProvider.java:45)
    at org.testcontainers.containers.FailureDetectingExternalResource$1.evaluate(FailureDetectingExternalResource.java:29)
Caused by: oracle.net.ns.NetException: Listener refused the connection with the following error:
ORA-12528, TNS:listener: all appropriate instances are blocking new connections
 
    at oracle.net.ns.NSProtocolNIO.negotiateConnection(NSProtocolNIO.java:284)
    at oracle.net.ns.NSProtocol.connect(NSProtocol.java:340)
    at oracle.jdbc.driver.T4CConnection.connect(T4CConnection.java:1596)
    at oracle.jdbc.driver.T4CConnection.logon(T4CConnection.java:588)
    ... 11 more{code}
I have attached the test results to this issue.

`OracleE2eITCase` runs the `goodboy008/oracle-19.3.0-ee:non-cdb` docker image. I am able to reproduce the same issue when I run this docker image locally - my observation is that dockerized Oracle DB instance is not being set up properly, as I notice another ORA in the setup logs (`ORA-03113: end-of-file on communication channel`). I have also attached the logs from the docker image setup to this issue. To reproduce the ORA-12528 issue locally, I:
 * ran: `docker run goodboy008/oracle-19.3.0-ee:non-cdb`
 * ssh'ed into the db pod
 * ran: `sqlplus sys/top_secret@//localhost:1521/ORCLCDB as sysdba`

Any insight/workaround on getting this e2e test and the docker image running on my machine would be much appreciated. I'm also happy to provide any other information regarding my setup in the comments. Thank you!

 "," 
 * Mac M2 (Apple Silicon)
 * using docker desktop with Rosetta enabled for amd64 emulation

 ",,,,,,,,,,,,,,,,,,,,,,,,,"01/Jun/24 16:55;sakkurn;com.ververica.cdc.connectors.tests.OracleE2eITCase.txt;https://issues.apache.org/jira/secure/attachment/13069243/com.ververica.cdc.connectors.tests.OracleE2eITCase.txt","01/Jun/24 16:55;sakkurn;oracle-docker-setup-logs.txt;https://issues.apache.org/jira/secure/attachment/13069242/oracle-docker-setup-logs.txt",,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,Important,,,,,,,,9223372036854775807,,,,Mon Jun 03 17:03:10 UTC 2024,,,,,,,,,,"0|z1pka0:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"03/Jun/24 02:02;xiqian_yu;Hi [~sakkurn],
Currently [~gongzhongqiang] tweaks Oracle EE docker image for running E2e tests and repackaged it as goodboy008/oracle-19.3.0-ee:non-cdb. However it supports amd64 only, and requires Rosetta (or something similar) to run.

Oracle community discussions[2] revealed that ORA-03113 also appears when running cross-architecture emulation, perhaps caused by a bug in Rosetta 2, but is hard to investigate and debug since they're not open sourced.

As this PR [3] has brought official arm64 architecture support to Oracle docker image, I think we can repackage Oracle E2e docker image to support both amd64 and arm64 architecture, which could help Mac developers run E2e tests easier. I'd like to help implementing this if needed.

[1] https://hub.docker.com/r/gvenzl/oracle-xe/tags
[2] https://github.com/oracle/docker-images/discussions/1951
[3] https://github.com/oracle/docker-images/pull/2659 ;;;","03/Jun/24 03:08;gongzhongqiang;[~xiqian_yu] Let me take this issue. Because It have some change to orginal.;;;","03/Jun/24 17:03;sakkurn;Thank you [~gongzhongqiang], [~xiqian_yu]! Is there a workaround I can use to get the E2E test/docker image running while you repackage the image?;;;",,,,,,,,,,,,,,,,,,,,,,,,,,
compress the checkpoint metadata generated by ZK/ETCD HA Services,FLINK-35502,13581260,,Improvement,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,,,yingz,yingz,01/Jun/24 13:11,04/Jun/24 17:33,04/Jun/24 20:40,,,,,,,,,,,,,,,,,0,,,"In the implementation of Flink HA, the metadata of checkpoints is stored in either Zookeeper (ZK HA) or ETCD (K8S HA), such as:
{code:java}
checkpointID-0000000000000036044: xxxx
checkpointID-0000000000000036045: xxxx
...
... {code}
However, neither of these are designed to store excessive amounts of data. If the [state.checkpoints.num-retained]([https://nightlies.apache.org/flink/flink-docs-release-1.19/zh/docs/deployment/config/#state-checkpoints-num-retained]) setting is set too large, it can easily cause abnormalities in ZK/ETCD. 

The error log when set state.checkpoints.num-retained to 1500:
{code:java}
Caused by: org.apache.flink.util.SerializedThrowable: io.fabric8.kubernetes.client.KubernetesClientException: Failure executing: PUT at: https://xxx/api/v1/namespaces/default/configmaps/xxx-jobmanager-leader. Message: ConfigMap ""xxx-jobmanager-leader"" is invalid: 0J:
Too long: must have at most 1048576 bytes. Received status: Status(apiVersion=v1, code=422, details=StatusDetails(causes=(StatusCause(field=[J, message=Too long: must have at most 1048576 bytes, reason=FieldValueTooLong, additionalProperties={})l, group=null, kind=ConfigMap, name=xxx-jobmanager-leader, retryAfterSeconds=null, uid=null, additionalProperties=(}), kind=Status, message=ConfigMap ""xxx-jobmanager-leader"" is invalid: [): Too long: must have at most 1048576 bytes, metadata=ListMeta(_continue=null, remainingItemCount=null, resourceVersion=null, selfLink=null, additionalProperties={}), reason=Invalid, status=Failure, additionalProperties=(}). {code}
In Flink's code, all checkpoint metadata are updated at the same time, and The checkpoint metadata contains many repeated bytes, therefore it can achieve a very good compression ratio.

Therefore, I suggest compressing the data when writing checkpoints and decompressing it when reading, to reduce storage pressure and improve IO efficiency.

Here is the sample code, and reduce the metadata size from 1M bytes to 30K.
{code:java}
// Map -> Json
ObjectMapper objectMapper = new ObjectMapper();
String checkpointJson = objectMapper.writeValueAsString(checkpointMap); // // copress and base64  
String compressedBase64 = compressAndEncode(checkpointJson); compressedData.put(""checkpoint-all"", compressedBase64);{code}
{code:java}
    private static String compressAndEncode(String data) throws IOException {
        ByteArrayOutputStream outputStream = new ByteArrayOutputStream();
        try (GZIPOutputStream gzipOutputStream = new GZIPOutputStream(outputStream))
{             gzipOutputStream.write(data.getBytes(StandardCharsets.UTF_8));         }
        byte[] compressedData = outputStream.toByteArray();
        return Base64.getEncoder().encodeToString(compressedData);
    } {code}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Tue Jun 04 17:33:28 UTC 2024,,,,,,,,,,"0|z1pk8w:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"01/Jun/24 14:15;roman;[~yingz] , could you clarify the use case requiring setting state.checkpoints.num-retained to 1500?

Most of the checkpoint data should already be stored on the (distributed) file system and etcd/zk is only used to store the pointer; so the load on etcd/zk shouldn't be high in normal cases.;;;","02/Jun/24 02:12;yingz;[~roman] 
My usage scenario is as follows:
The checkpoints of the task are stored in $state.checkpoints.dir, and the number of them is determined by $state.checkpoints.num-retained.
For example, if checkpoint interval is 5 minutes, and you want to recover from a checkpoint that was made 3 days ago when restarting the task, you would need to save 60/5*24*3 = 864 checkpoints.
If the checkpoint frequency is higher, or if you need to recover from an earlier time, state.checkpoints.num-retained will need to be set larger.;;;","03/Jun/24 17:35;liuml07;When would you need to restore from checkpoints 3 days old? If that is for planed manual operation, have you considered savepoints? In my day job, we enable daily savepoints automatically as a cron job in the control plane.;;;","04/Jun/24 01:03;yingz;Yes, I understand that using cron + savepoint can partially solve the problem. 
However, we need to recover the tasks from any point in the past three days, and maybe increasing the frequency of cron is also feasible. 
But I don't understand why we can't just use checkpointing to automatically achieve this?;;;","04/Jun/24 17:33;liuml07;I guess in my day job I don't see user requests that need to recover from any point in the past days. I think it works just fine to recover from recent checkpoints in the past days. And compressing is a good improvement as data is getting large.;;;",,,,,,,,,,,,,,,,,,,,,,,,
Use common thread pools when transferring RocksDB state files,FLINK-35501,13581200,,Improvement,In Progress,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,,roman,roman,roman,31/May/24 18:23,04/Jun/24 15:11,04/Jun/24 20:40,,1.20.0,,,,,,,,1.20.0,,,Runtime / State Backends,,,,0,pull-request-available,,"Currently, each RocksDB state backend creates an executor backed by a thread pool.

This makes it difficult to control the total number of threads per TM because it might have at least one task per slot and theoretically, many state backends per task (because of chaining).

Additionally, using a common thread pool allows to indirectly control the load on the underlying DFS (e.g. the total number of requests to S3 from a TM).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2024-05-31 18:23:34.0,,,,,,,,,,"0|z1pjvk:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
